Pop Pop 0 0 0 0 0 1 1 1 1 500 1 0 0 0 0 1 0 0 .md3 0
LollyPop LollyPop 0 1 0 0 0 1 1 1 1 500 1 0 0 0 0 1 0 0 .md3 0
Pizza Pizza 0 0 0 0 0 1 1 1 1 500 1 0 0 0 0 1 0 0 .md3 0
Book Book 0 0 0 0 0 1 1 1 1 500 1 0 0 0 0 1 0 0 .md3 0
Teddy Teddy 0 0 0 0 0 1 1 1 1 500 1 0 0 0 0 1 0 0 .md3 0
KeenBlaster KeenBlaster 20 -50 200 0 0 1.5 1 1 1 500 1 0 0 0 0 3 0 0 .md3 0
MarsWallSlope MarsWallSlope 0 0 0 0 0 1 1 1 1 500 1 0 0 0 0 1 0 0 .fbx 0
MarsWallCorner MarsWallCorner 0 0 0 0 0 1 1 1 1 500 1 1 1 0 0 1 0 0 .fbx 0
YellowKey YellowKey 0 0 0 0 0 1 1 1 1 500 1 0 0 0 0 1 0 0 .md3 0
RedKey RedKey 0 0 0 0 0 1 1 1 1 500 1 0 0 0 0 1 0 0 .md3 0
GreenKey GreenKey 0 0 0 0 0 1 1 1 1 500 1 0 0 0 0 1 0 0 .md3 0
BlueKey BlueKey 0 0 0 0 0 1 1 1 1 500 1 0 0 0 0 1 0 0 .md3 0
Raygun Raygun 0 0 0 0 0 1 1 1 1 500 1 0 0 0 0 1 0 0 .md3 0
KeenBlasterProjectile0 KeenBlasterProjectile0 0 0 0 0 0 1 1 1 1 500 1 0 0 0 0 1 0 0 .md3 0
RoundPlatformBlue RoundPlatformBlue 0 0 0 0 0 1 1 1 1 500 1 0 1 0 0 1 0 0 .fbx 0
RoundPlatformGreen RoundPlatformGreen 0 0 0 0 0 1 1 1 1 500 1 0 1 0 0 1 0 0 .fbx 0
RoundPlatformPink RoundPlatformPink 0 0 0 0 0 1 1 1 1 500 1 0 1 0 0 1 0 0 .fbx 0
RoundPlatformRed RoundPlatformRed 0 0 0 0 0 1 1 1 1 500 1 1 1 0 0 1 0 0 .fbx 0
RoundPlatformYellow RoundPlatformYellow 0 0 0 0 0 1 1 1 1 500 1 0 1 0 0 1 0 0 .fbx 0
